nm_micr,ano_mes,n
Alto Mearim e Grajaú,2011/01,12
Alto Mearim e Grajaú,2011/03,14
Alto Mearim e Grajaú,2011/04,8
Alto Mearim e Grajaú,2011/05,24
Alto Mearim e Grajaú,2011/06,122
Alto Mearim e Grajaú,2011/07,265
Alto Mearim e Grajaú,2011/08,385
Alto Mearim e Grajaú,2011/09,698
Alto Mearim e Grajaú,2011/10,500
Alto Mearim e Grajaú,2011/11,220
Alto Mearim e Grajaú,2011/12,139
Alto Mearim e Grajaú,2012/01,10
Alto Mearim e Grajaú,2012/02,6
Alto Mearim e Grajaú,2012/03,12
Alto Mearim e Grajaú,2012/04,14
Alto Mearim e Grajaú,2012/05,57
Alto Mearim e Grajaú,2012/06,231
Alto Mearim e Grajaú,2012/07,777
Alto Mearim e Grajaú,2012/08,3301
Alto Mearim e Grajaú,2012/09,1326
Alto Mearim e Grajaú,2012/10,1066
Alto Mearim e Grajaú,2012/11,147
Alto Mearim e Grajaú,2012/12,61
Alto Mearim e Grajaú,2013/01,20
Alto Mearim e Grajaú,2013/02,6
Alto Mearim e Grajaú,2013/03,6
Alto Mearim e Grajaú,2013/04,15
Alto Mearim e Grajaú,2013/05,17
Alto Mearim e Grajaú,2013/06,62
Alto Mearim e Grajaú,2013/07,220
Alto Mearim e Grajaú,2013/08,558
Alto Mearim e Grajaú,2013/09,840
Alto Mearim e Grajaú,2013/10,571
Alto Mearim e Grajaú,2013/11,112
Alto Mearim e Grajaú,2013/12,116
Alto Mearim e Grajaú,2014/01,18
Alto Mearim e Grajaú,2014/02,3
Alto Mearim e Grajaú,2014/03,3
Alto Mearim e Grajaú,2014/04,8
Alto Mearim e Grajaú,2014/05,24
Alto Mearim e Grajaú,2014/06,115
Alto Mearim e Grajaú,2014/07,430
Alto Mearim e Grajaú,2014/08,2035
Alto Mearim e Grajaú,2014/09,683
Alto Mearim e Grajaú,2014/10,964
Alto Mearim e Grajaú,2014/11,386
Alto Mearim e Grajaú,2014/12,131
Alto Mearim e Grajaú,2015/01,24
Alto Mearim e Grajaú,2015/02,7
Alto Mearim e Grajaú,2015/03,7
Alto Mearim e Grajaú,2015/04,10
Alto Mearim e Grajaú,2015/05,32
Alto Mearim e Grajaú,2015/06,192
Alto Mearim e Grajaú,2015/07,450
Alto Mearim e Grajaú,2015/08,1921
Alto Mearim e Grajaú,2015/09,820
Alto Mearim e Grajaú,2015/10,1011
Alto Mearim e Grajaú,2015/11,317
Alto Mearim e Grajaú,2015/12,184
Alto Mearim e Grajaú,2016/01,11
Alto Mearim e Grajaú,2016/02,37
Alto Mearim e Grajaú,2016/03,9
Alto Mearim e Grajaú,2016/04,14
Alto Mearim e Grajaú,2016/05,7
Alto Mearim e Grajaú,2016/06,125
Alto Mearim e Grajaú,2016/07,565
Alto Mearim e Grajaú,2016/08,842
Alto Mearim e Grajaú,2016/09,560
Alto Mearim e Grajaú,2016/10,877
Alto Mearim e Grajaú,2016/11,325
Alto Mearim e Grajaú,2016/12,34
Alto Mearim e Grajaú,2017/01,8
Alto Mearim e Grajaú,2017/02,5
Alto Mearim e Grajaú,2017/04,6
Alto Mearim e Grajaú,2017/05,13
Alto Mearim e Grajaú,2017/06,113
Alto Mearim e Grajaú,2017/07,427
Alto Mearim e Grajaú,2017/08,826
Alto Mearim e Grajaú,2017/09,3218
Alto Mearim e Grajaú,2017/10,777
Alto Mearim e Grajaú,2017/11,284
Alto Mearim e Grajaú,2017/12,131
Alto Mearim e Grajaú,2018/01,17
Alto Mearim e Grajaú,2018/02,1
Alto Mearim e Grajaú,2018/03,5
Alto Mearim e Grajaú,2018/04,7
Alto Mearim e Grajaú,2018/05,21
Alto Mearim e Grajaú,2018/06,95
Alto Mearim e Grajaú,2018/07,293
Alto Mearim e Grajaú,2018/08,622
Alto Mearim e Grajaú,2018/09,528
Alto Mearim e Grajaú,2018/10,227
Alto Mearim e Grajaú,2018/11,288
Alto Mearim e Grajaú,2018/12,41
Alto Mearim e Grajaú,2019/01,28
Alto Mearim e Grajaú,2019/02,20
Alto Mearim e Grajaú,2019/03,5
Alto Mearim e Grajaú,2019/04,8
Alto Mearim e Grajaú,2019/05,19
Alto Mearim e Grajaú,2019/06,173
Alto Mearim e Grajaú,2019/07,182
Alto Mearim e Grajaú,2019/08,671
Alto Mearim e Grajaú,2019/09,982
Alto Mearim e Grajaú,2019/10,481
Alto Mearim e Grajaú,2019/11,292
Alto Mearim e Grajaú,2019/12,203
Alto Mearim e Grajaú,2020/01,4
Alto Mearim e Grajaú,2020/02,6
Alto Mearim e Grajaú,2020/03,5
Alto Mearim e Grajaú,2020/04,5
Alto Mearim e Grajaú,2020/05,37
Alto Mearim e Grajaú,2020/06,139
Alto Mearim e Grajaú,2020/07,283
