CD_MICRO,NM_MICRO,UF
29001,Barreiras,BA
29002,Cotegipe,BA
29003,Santa Maria da Vitória,BA
29007,Bom Jesus da Lapa,BA
17001,Bico do Papagaio,TO
17002,Araguaína,TO
17003,Miracema do Tocantins,TO
17004,Rio Formoso,TO
17005,Gurupi,TO
17006,Porto Nacional,TO
17007,Jalapão,TO
17008,Dianópolis,TO
21004,Lençóis Maranhenses,MA
21006,Itapecuru Mirim,MA
21009,Imperatriz,MA
21010,Médio Mearim,MA
21011,Alto Mearim e Grajaú,MA
21012,Presidente Dutra,MA
21013,Baixo Parnaíba Maranhense,MA
21014,Chapadinha,MA
21015,Codó,MA
21016,Coelho Neto,MA
21017,Caxias,MA
21018,Chapadas do Alto Itapecuru,MA
21019,Porto Franco,MA
21020,Gerais de Balsas,MA
21021,Chapadas das Mangabeiras,MA
22007,Alto Parnaíba Piauiense,PI
22008,Bertolínia,PI
22010,Alto Médio Gurguéia,PI
22012,Chapadas do Extremo Sul Piauiense,PI
